,点消,拖消,目标物品,Impressions,Spend,Unique redirects,Unique interactions,Total interactions,Unique redirects rate,Unique interactions rate,CTA clicked,CTA click rate,Average duration,HTML loading,HTML loaded,HTML displayed,HTML completed,HTML loading rate,HTML completion rate,Challenge started,Challenge failed,Challenge solved,Challenge pass 25,Challenge pass 50,Challenge pass 75,Challenge failed rate,Challenge solved rate,Challenge pass 25 rate,Challenge pass 50 rate,Challenge pass 75 rate,Redirect count,Endcard shown,Redirect rate,Black view error,Rendering error,Runtime error,Black view error rate,Rendering error rate,Runtime error rate
HTML completion rate,0.4861887989531654,-0.4861887989531654,0.19620897920964692,-0.15224730350858265,-0.09542854305028588,0.09097557376433074,-0.014263017523875285,0.12575502525410803,0.26791324886634127,0.5372727459926578,0.06131860111307619,0.22181819244600923,0.3341127292337801,-0.16265814913432103,-0.16111567517204595,-0.15889611363244766,0.27139426619491364,-0.3262333221454332,1.0,0.017840086080786948,-0.03441772388161198,-0.07494277106901437,0.17696570392967562,0.166997822120424,0.16150042810788925,0.2841028888282383,0.054960984612127006,0.6258193041485229,0.6321417217809977,0.5864999389140463,0.09049400006570567,-0.03278431777647728,0.2674260070732451,-0.09982650282916047,-0.026874409177667133,-0.11915206902099026,-0.055389063180861044,0.03363914002207763,-0.13002186412848704
Challenge started,-0.2618264848114489,0.2618264848114489,0.08856759019442442,0.8779846528230164,0.8316565610967873,0.368952852146519,0.9490109484748357,0.784543567272848,0.01372448870681494,0.30547363832660923,0.34448536114845835,-0.00962969991994508,0.20460199512471147,0.8588549406494962,0.8587644703223728,0.8759823189224828,0.9017960020706339,0.11659649298028511,0.017840086080786948,1.0,0.11179824316976515,0.8235752939276689,0.9579280343108209,0.9423261011018728,0.9218894190042275,-0.3412056466702534,0.019555484824484343,-0.21673582774652198,-0.17440843825064653,-0.10834097727904218,0.3690804426649297,0.7418816228658165,0.014261991303603129,0.8896502642479119,0.49050359300568613,0.822874880782274,-0.07816921344853277,-0.08825662561696113,-0.10686063484151868
Challenge failed,-0.2128546593528206,0.2128546593528206,-0.14638021521095482,0.4790878447747688,0.20716737088170986,0.4888723650076032,0.38953324302921133,0.31849121706578837,0.24282069563834238,-0.10450016041176047,0.525923348150261,0.2698182134858291,-0.17206569284327897,0.21906444734727135,0.22239998083161933,0.2538767117261836,0.15344784673934458,-0.07184371640012086,-0.03441772388161198,0.11179824316976515,1.0,0.0007358295891097686,0.12628200545423388,0.0798398808245988,0.017297540793638756,0.4704929264095926,-0.08010104465333054,0.2581903593855993,0.24640893695831995,0.16571937497407818,0.4888132497144797,0.4859738241969776,0.24317342977495615,0.22076135930658514,0.22621325372654558,0.3026446154818663,-0.29744225033238963,-0.17645687304729377,-0.22984614960717323
Challenge solved,-0.21095655098536095,0.21095655098536095,0.09069846272833523,0.7704643051431942,0.9080710849052996,0.030110887468284647,0.7810878257998998,0.4002722097090137,-0.2756681108573695,0.08494027993000583,0.022419839153642006,-0.2782476496882677,-0.014633829983048947,0.9085873881292298,0.9068734295194616,0.9010957255955424,0.7702938728425459,0.15538021134099375,-0.07494277106901437,0.8235752939276689,0.0007358295891097686,1.0,0.8182784708460015,0.8178479019167809,0.8193080746550195,-0.22025735642987737,0.3232051399596155,-0.10499645709402969,-0.06906171634387434,-0.017789677793155392,0.030318762928500595,0.8413072514775185,-0.2754359668790219,0.905352921164707,0.26290171126394873,0.7673296516560572,0.010566939610293783,-0.06691874548223119,-0.0533144387418617
Challenge pass 25,-0.2667960421154755,0.2667960421154755,0.2105604075827664,0.8303874251365015,0.8351056028212629,0.44227488948087157,0.9288052840297137,0.7104527340250201,0.1463117068578644,0.4194488688957727,0.4170656677459945,0.1211973718761723,0.21233341447850615,0.8165953003505099,0.8168066180292167,0.8386196754988156,0.937220226029159,0.036303561828325746,0.17696570392967562,0.9579280343108209,0.12628200545423388,0.8182784708460015,1.0,0.9941561450186245,0.9782304288512529,-0.19275669825864186,0.10306148024051962,-0.02336588631872635,0.02251862397505767,0.0726500507846795,0.44218469936751853,0.7382736441737607,0.14660665147450738,0.8666185636405208,0.33618716851736286,0.7977353498773883,-0.09696032825396217,-0.11932968841551618,-0.12282126782653717
Challenge pass 50,-0.26939333425668155,0.26939333425668155,0.21744470379465672,0.797658137409032,0.8274453911825552,0.44559998929169176,0.9020265331600926,0.665350977991334,0.15818006621167696,0.4309653716058443,0.42050162948654407,0.13331057256159018,0.2152063060181813,0.8025747407185473,0.8027961296192354,0.8242359789602818,0.9256769466011188,0.017882201181285994,0.166997822120424,0.9423261011018728,0.0798398808245988,0.8178479019167809,0.9941561450186245,1.0,0.9918172138298541,-0.2213031103117857,0.1002912327464214,-0.05840289629587748,0.011642785822782485,0.08378086467600465,0.44548810185298887,0.7126657330044913,0.15845117139610482,0.8594840323969055,0.28536852238722066,0.791133085981185,-0.06774301125425862,-0.11155909621281138,-0.0983602530756643
Challenge pass 75,-0.27220609843433924,0.27220609843433924,0.11538814781758808,0.7556606312927517,0.7949043813217966,0.4465589994020573,0.86496179455352,0.6159258112722247,0.174388031723966,0.4374393660286214,0.4217785521345097,0.15002794886940785,0.21987346024690133,0.7883467320580131,0.7881610555932627,0.8075482971728093,0.9049899745572726,0.01705781855511647,0.16150042810788925,0.9218894190042275,0.017297540793638756,0.8193080746550195,0.9782304288512529,0.9918172138298541,1.0,-0.23463103671475485,0.10063660838647798,-0.0754728417078793,0.0023368117739347863,0.09179273416777556,0.44647130065830676,0.6800664046712764,0.1746367313079524,0.8317868853799887,0.22643261938915218,0.7500860709094672,-0.04729514303029738,-0.10216027299728604,-0.08165499466494891
Challenge failed rate,-0.25211027965767485,0.25211027965767485,-0.4014507193485815,-0.12239770295058935,-0.13775974824522308,0.12419493739579096,-0.1438422666649127,-0.14267638026072504,0.42589592245182306,0.012024011833022938,0.14536117071057084,0.4485996181509439,-0.19808316210038712,-0.21373544943470357,-0.212796357889276,-0.2041486306977904,-0.1364759510173415,-0.1788866865110013,0.2841028888282383,-0.3412056466702534,0.4704929264095926,-0.22025735642987737,-0.19275669825864186,-0.2213031103117857,-0.23463103671475485,1.0,0.018567356748457393,0.8222843559062526,0.7545844217899573,0.5680034646453086,0.12356463374606831,0.05243158714782875,0.42500223461256004,-0.23900922593596216,-0.19518226892458687,-0.23206152513172337,-0.3536948470481201,-0.18039452835336123,-0.2697298181426315
Challenge solved rate,-0.3745409424539296,0.3745409424539296,0.2737245929854384,0.003487417853911137,0.18028928561424462,-0.28051555153784163,0.02384182562454126,-0.11023333848284617,-0.25393184937700425,0.0627242285406377,-0.26384559993513923,-0.22531700244030778,0.009242933983883433,0.10083095757675797,0.09940365930275971,0.09289228546184394,0.05441030202362474,0.011700701766674445,0.054960984612127006,0.019555484824484343,-0.08010104465333054,0.3232051399596155,0.10306148024051962,0.1002912327464214,0.10063660838647798,0.018567356748457393,1.0,0.2782455124331502,0.2345019500821749,0.21683181226619372,-0.28083513232844587,0.1863378851825447,-0.25461215240087237,0.1252633627116984,-0.06539891203636544,0.05781077267127962,0.24223794270610088,-0.026170135218637366,0.17157624077067202
Challenge pass 25 rate,-0.5324784628165307,0.5324784628165307,0.2151026025196579,-0.14888984990491758,-0.08564313396432331,-0.0029237855320632753,-0.10052983020667672,-0.04499465704813081,0.28720834386608196,0.27155373129782884,-0.001009735158063186,0.2849894248542138,0.06306647990571468,-0.18088482394866304,-0.18033562190859972,-0.1743875887797699,0.03195885941614585,-0.3036449505785958,0.6258193041485229,-0.21673582774652198,0.2581903593855993,-0.10499645709402969,-0.02336588631872635,-0.05840289629587748,-0.0754728417078793,0.8222843559062526,0.2782455124331502,1.0,0.9283807719982626,0.7643833076262626,-0.0035057462564863934,0.051382896981724754,0.2862846209372286,-0.20219157900108647,-0.11606279033748568,-0.2405531306339129,-0.20976352814493895,-0.09559099933804129,-0.1780703518005331
