,Impressions,Spend,Unique redirects,Unique interactions,Total interactions,Unique redirects rate,Unique interactions rate,CTA clicked,CTA click rate,Average duration,HTML loading,HTML loaded,HTML displayed,HTML completed,HTML completion rate,Challenge started,Challenge failed,Challenge solved,Challenge pass 25,Challenge pass 50,Challenge pass 75,Challenge failed rate,Challenge solved rate,Challenge pass 25 rate,Challenge pass 50 rate,Challenge pass 75 rate,Redirect count,Endcard shown,Redirect rate,Black view error,Rendering error,Runtime error,Black view error rate,Rendering error rate,Runtime error rate
HTML completed,0.19264046377089228,0.16434233173774226,0.17755652376368372,0.09792991235612454,0.024460477578847686,-0.053688928244767765,-0.09807304399723688,0.9655130944015629,-0.042671483829872195,-0.0444503280959871,0.9589043553447092,0.9597063672780276,0.9582349179456137,1.0,0.11315697988354843,0.9614554340132629,0.8713398308848275,0.8344537822929419,0.968002077269289,0.9646816580189213,0.9625041293387943,-0.07280599356932452,0.08940956365260304,0.07523650515894142,0.10572569267144007,0.12624896325672907,0.15233110455071508,0.9999584181615616,-0.039087661728510345,0.11356465915067043,0.01495599643229489,0.11486461452750973,-0.05638066194335999,-0.023907340025588482,-0.012258759677577594
HTML completion rate,-0.07170285091709597,-0.07763975820893895,-0.07202594892778755,-0.0793934837262108,-0.08324995103817565,0.03270174742872185,0.06792645281897249,0.0760617412556326,0.03254634843536135,-0.006782965205514838,0.07196493145988771,0.07239062053535092,0.07167359456642022,0.11315697988354843,1.0,0.07401402239510907,0.03553166240096757,0.026882970068714915,0.07841914417002621,0.07650289157439663,0.07506396537134011,-0.004233802408071283,0.29139404736115876,0.4935138483226829,0.4824459480327779,0.4080463456430265,-0.07535244908668205,0.11267432414143047,0.004059131864950256,-0.08054640284482191,-0.10913117768272047,-0.077240199405094,0.19664658284200096,-0.15126834021182137,0.096983376588475
Challenge started,0.20302923339186726,0.18002364925813952,0.1856455955144838,0.10290610546803866,0.024363752967321975,-0.04982667907796582,-0.09664067692692678,0.9996031765735791,-0.038696117712387366,-0.057255166440259714,0.9998718524955302,0.9998928539203604,0.9998582970984231,0.9614554340132629,0.07401402239510907,1.0,0.9723466537517276,0.9537967094534006,0.9996416520349239,0.999912806695312,0.9999832973184827,-0.06134673667892396,0.11946355197447862,0.06277184572443517,0.09136416561659895,0.11099198855953787,0.16237705924732898,0.9613398724403727,-0.034466028489807544,0.12349801653456208,0.019328276497618035,0.11966627456191725,-0.04972767122355693,-0.021534548772094205,-0.012531739128162777
Challenge failed,0.1981852729471327,0.18097024634182707,0.1798982308492223,0.09949692168589169,0.021421210706014274,-0.03903789594580244,-0.08842514952256156,0.9684302859978292,-0.01977455819412525,-0.0601862134211722,0.9743573039567851,0.9737212169583405,0.9748871544868312,0.8713398308848275,0.03553166240096757,0.9723466537517276,1.0,0.9967300797658255,0.9662175935051399,0.9694764702637153,0.9714210276689187,-0.028038877164299685,0.13810575476027867,0.05365867083510428,0.0782477821116454,0.09531351727563425,0.15965199747589123,0.871266723599145,-0.03032666284436244,0.12301381922600699,0.02119766556998468,0.11517780096059912,-0.0452441013989783,-0.020544108258045524,-0.011125195752596094
Challenge solved,0.19642858539193842,0.1812319062939222,0.17804390357334982,0.09922840111577585,0.022081820744715916,-0.04471822162180101,-0.08709679638651781,0.9484641960649514,-0.034641501244797195,-0.06555808040948244,0.9563626081431534,0.9555284799125262,0.9570648175874626,0.8344537822929419,0.026882970068714915,0.9537967094534006,0.9967300797658255,1.0,0.9459318024155324,0.9501174494248404,0.952640656555574,-0.04612079249822954,0.14576149718727402,0.044262611231272814,0.06931810504457252,0.08642664392443593,0.15896534115075198,0.8342371626571425,-0.027816621252489317,0.1234201409372655,0.022584838033461306,0.11433863627605555,-0.03796742821073903,-0.017074758548351245,-0.01135838667574883
Challenge pass 25,0.20244933535243284,0.17887600036433632,0.18523942458062678,0.10249848769299251,0.02416799015039963,-0.04824854768895729,-0.09425692462129827,0.999811925692097,-0.03809940236645761,-0.05455791100017155,0.9993567049147928,0.9994492005702147,0.9992810157249559,0.968002077269289,0.07841914417002621,0.9996416520349239,0.9662175935051399,0.9459318024155324,1.0,0.9999017404500397,0.9997520927917182,-0.06413201993149327,0.11797734618047913,0.06838981563642667,0.09612336780696971,0.11549566145043767,0.161729255119107,0.9678459614067771,-0.034130141392574344,0.12270103626883076,0.0189334706035751,0.11934385282447613,-0.05137695656234973,-0.022304006308886785,-0.012739601424350083
Challenge pass 50,0.20275473057174148,0.17947357819047008,0.18544815838876247,0.10270439441721883,0.02425749404160318,-0.04978522068386529,-0.0953849914985978,0.9997688894667927,-0.039145947274996616,-0.05559653822638261,0.9997180676955677,0.9997733373478631,0.9996740930045084,0.9646816580189213,0.07650289157439663,0.999912806695312,0.9694764702637153,0.9501174494248404,0.9999017404500397,1.0,0.9999647001391966,-0.06321799632349921,0.11978165695347756,0.0660104351285056,0.09459438260353609,0.1141303977071655,0.16206055142810846,0.9645404513804344,-0.03466849061211794,0.12311206905097456,0.019175288589011633,0.11951187846116529,-0.050533573797414764,-0.021931778459214946,-0.01265616575413748
Challenge pass 75,0.20290552385905536,0.1798085048635519,0.18554418557650412,0.10280265709738265,0.024289830658960804,-0.05023003177456583,-0.0957866288071634,0.9996712712063853,-0.03941487261730876,-0.05625954441241342,0.9998516859273054,0.9998837310894609,0.9998276418091442,0.9625041293387943,0.07506396537134011,0.9999832973184827,0.9714210276689187,0.952640656555574,0.9997520927917182,0.9999647001391966,1.0,-0.06277606608679517,0.1207317729781013,0.06480805986255926,0.09356864899690039,0.11328064916374003,0.16223831550739498,0.9623667762429219,-0.03471350335677836,0.12333591904997142,0.019298358506814932,0.11958464583112478,-0.050094966647173785,-0.021738687106902643,-0.012666892498322814
Challenge failed rate,-0.07965237656429598,-0.07781549446335549,-0.07883084591998596,-0.07462942718588308,-0.06939635337566369,0.27155045908057596,0.05816506233452976,-0.05980353035414879,0.6647390000695682,0.0810659041757672,-0.06252282925320976,-0.06265956878304176,-0.06238477783957534,-0.07280599356932452,-0.004233802408071283,-0.06134673667892396,-0.028038877164299685,-0.04612079249822954,-0.06413201993149327,-0.06321799632349921,-0.06277606608679517,1.0,-0.08453438181307713,0.20230974154673623,0.16096123443601998,0.08576987173876205,-0.07730675282468807,-0.0693431631055931,-0.0028263382406044026,-0.07566454014888811,-0.08790887285227962,-0.07544109060567337,-0.10566411382603863,-0.11638323902056932,0.11454740937536519
Challenge solved rate,-0.032222885174643605,-0.03352192061489077,-0.0355702944680667,-0.045615710570190114,-0.055124152977282695,-0.19190304974651953,0.1643285766745336,0.11516889457192124,-0.08631219574790273,-0.029948077726321257,0.12081941211797177,0.1205536950415669,0.12105617241275106,0.08940956365260304,0.29139404736115876,0.11946355197447862,0.13810575476027867,0.14576149718727402,0.11797734618047913,0.11978165695347756,0.1207317729781013,-0.08453438181307713,1.0,0.461877365519319,0.5760893982568562,0.6497151441622607,-0.037532975658720324,0.08933261735215774,-0.12235095397194576,-0.041882373865148495,-0.0669500982810853,-0.043273890362895556,0.07323086664057334,-0.10223537461223128,-0.09854358546798608
