,点消,拖消,目标物品,Impressions,Spend,Unique redirects,Unique interactions,Total interactions,Unique redirects rate,Unique interactions rate,CTA clicked,CTA click rate,Average duration,HTML loading,HTML loaded,HTML displayed,HTML completed,HTML loading rate,HTML completion rate,Challenge started,Challenge failed,Challenge solved,Challenge pass 25,Challenge pass 50,Challenge pass 75,Challenge failed rate,Challenge solved rate,Challenge pass 25 rate,Challenge pass 50 rate,Challenge pass 75 rate,Redirect count,Endcard shown,Redirect rate,Black view error,Rendering error,Runtime error,Black view error rate,Rendering error rate,Runtime error rate
CTA clicked,-0.0563436169819011,0.0563436169819011,-0.7559289460184544,0.8515122565029267,0.7781579380385151,0.9976728361789164,0.864650343392075,0.6883810109626681,0.6059942577619671,0.11386341970595226,1.0,0.6084576490536824,-0.12361396419725049,0.8134665465531012,0.8112768654049098,0.828794314590441,0.5505064330687106,0.09057255983239657,-0.10402408978921435,0.5657588666639504,0.5331466414051871,0.1259813798069426,0.6309018808226442,0.5791706636966226,0.4653072439906703,0.4052574547900661,-0.26265413595148496,0.1765430425729308,0.07143834745974409,-0.059942521431739296,0.9972625239529154,0.5988767060302043,0.6059942577619671,0.7303217043104444,-0.03779900272154579,0.6548328212147936,-0.224657610130187,-0.1445903992318842,-0.0707140458378914
CTA click rate,-0.0563436169819011,0.0563436169819011,-0.3779644730092272,0.22769567597153803,0.22550629447181172,0.5970435482396994,0.270935960591133,0.2616310892172961,0.9950738916256158,0.1921182266009852,0.6084576490536824,1.0,-0.0895154700937101,0.17679255610290093,0.17515051997810618,0.2233169129720854,0.030655536074679458,-0.13282157587072269,-0.020254550620770355,-0.14887794198139026,0.4311888234610525,-0.28218167561274043,0.1499726327312534,0.1291735084838533,0.037219485495347565,0.6599828930526314,-0.2337439412894736,0.5084838533114395,0.3519430760810071,0.18609742747673783,0.5931298810163427,0.15593327875162374,0.9950738916256158,0.05912948483254245,-0.27914390294758373,0.032894781334946846,-0.43446123242349455,-0.2531636070947607,-0.2521241062416412
Average duration,0.2817180849095055,-0.2817180849095055,0.2519763153394848,-0.19791952562003792,-0.006843690374136857,-0.13430996714129245,-0.0002737476149654743,0.2937311908579539,-0.06214070859716267,0.7829181788012565,-0.12361396419725049,-0.0895154700937101,1.0,-0.165069811824181,-0.14727621685142517,-0.05912948483254245,0.2778918574976949,-0.6604467039079396,0.5032169793899145,0.11086778406101709,-0.15843926076584178,-0.06396218505219421,0.20996442067851878,0.22118807289210324,0.24555161062403044,-0.24288518620874702,0.05707664341825029,0.08896797486377915,0.2811388005695421,0.3758554753475962,-0.13785078842373338,-0.12061410759449052,-0.06214070859716267,0.008214676889375685,0.26197631760536894,0.04250072543740799,0.31004254431669614,0.32273165426999567,0.26836638939774143
HTML loading,0.1690308509457033,-0.1690308509457033,0.1259881576697424,0.9622331691297209,0.8970990695128627,0.8223378353562848,0.9239189928845101,0.7066228790366721,0.180623973727422,0.0361247947454844,0.8134665465531012,0.17679255610290093,-0.165069811824181,1.0,0.9989053092501369,0.9677066228790366,0.7600930685659362,0.30625801378455897,-0.05611057942240436,0.7936507936507936,0.5323862003957892,0.5316346773483697,0.7547892720306514,0.7214012041598249,0.6349206349206349,0.2381438272431578,-0.08277285450368418,-0.037219485495347565,-0.08866995073891626,-0.18555008210180624,0.8260572131552018,0.8062490440901179,0.180623973727422,0.8664112013657261,0.17703425673872886,0.7672707746376352,-0.09368583952637777,0.0023104892433680898,-0.06631960185921432
HTML loaded,0.1690308509457033,-0.1690308509457033,0.1259881576697424,0.9622331691297209,0.896551724137931,0.821242844896423,0.9277504105090312,0.7186644772851669,0.18171866447728516,0.047619047619047616,0.8112768654049098,0.17515051997810618,-0.14727621685142517,0.9989053092501369,1.0,0.9726327312534209,0.7773368076079433,0.28101093737938027,-0.031202956361727305,0.7969348659003831,0.5411859723031577,0.5338349243317049,0.7690202517788725,0.7372742200328407,0.6507936507936508,0.24309369894105254,-0.07672301131736839,-0.029556650246305417,-0.07006020799124248,-0.16091954022988506,0.824962372581106,0.8133742905708599,0.18171866447728516,0.8609362490664166,0.17703425673872886,0.7527422462147003,-0.10080815481200883,0.0023104892433680898,-0.08084414276226538
HTML displayed,0.0563436169819011,-0.0563436169819011,0.1259881576697424,0.9600437876299945,0.8620689655172413,0.8398576827140751,0.9469074986316366,0.8035030103995622,0.23535851122058019,0.13136288998357964,0.828794314590441,0.2233169129720854,-0.05912948483254245,0.9677066228790366,0.9726327312534209,1.0,0.7811687496172782,0.19484156790953122,-0.038866840380397165,0.8084291187739464,0.5565855731410524,0.5088071148962668,0.8100711548987412,0.7843459222769568,0.7066228790366721,0.25464339956947357,-0.0841478188642105,0.0021893814997263274,-0.011494252873563218,-0.09085933223864258,0.8419324014795894,0.8062490440901179,0.23535851122058019,0.8324664971100073,0.19692574625993436,0.7313606383469848,-0.15504732506412228,0.029046150488055988,-0.10084964249665648
HTML completed,0.2817180849095055,-0.2817180849095055,0.1259881576697424,0.7026139384259121,0.7450390106721203,0.5642710525150239,0.7647461410058428,0.7004242572777207,0.06760640545040916,0.30327083902450747,0.5505064330687106,0.030655536074679458,0.2778918574976949,0.7600930685659362,0.7773368076079433,0.7811687496172782,1.0,0.0024701607227017247,0.5291541199014509,0.7225947789031586,0.3480511089493238,0.5341830558626256,0.8151088074142449,0.8041604016732878,0.7280689817736371,0.0642196238164102,0.08855982384961064,0.08348159377479673,0.1962501729066533,0.20062953520303609,0.5666575417465097,0.6787726144090622,0.06760640545040916,0.6648870698848789,0.22613087593065112,0.5646339523934969,0.018082197888527246,0.08021796121768918,-0.06564346503168601
HTML loading rate,-0.3944053188733077,0.3944053188733077,0.0,0.3051603148104208,0.16355714714659242,0.0804284639422387,0.16794794304314523,-0.027442474353455103,-0.1608128997112469,-0.4582893217027002,0.09057255983239657,-0.13282157587072269,-0.6604467039079396,0.30625801378455897,0.28101093737938027,0.19484156790953122,0.0024701607227017247,1.0,-0.31810180862347764,0.1355658233060682,0.06507665922978478,0.28819706105512227,0.08726706844398723,0.025795925892247797,0.01042814025431294,0.07224612168730345,0.02481737004525691,-0.1350169738189991,-0.3199792509612865,-0.3737665006940585,0.08178976615167932,0.21654321072502408,-0.1608128997112469,0.20779640684052797,0.044546405218822756,0.15200668891269867,-0.22084913653034602,-0.039055277530246416,-0.27837344221376825
HTML completion rate,0.3944053188733077,-0.3944053188733077,0.2519763153394848,-0.08621869521003597,0.11276857913185658,-0.10568104137350762,0.039414260667445015,0.12946489788681592,0.027097304208868446,0.38045709949825396,-0.10402408978921435,-0.020254550620770355,0.5032169793899145,-0.05611057942240436,-0.031202956361727305,-0.038866840380397165,0.5291541199014509,-0.31810180862347764,1.0,0.07718626047374649,-0.011963827134962928,0.11525370772731211,0.2988914767281247,0.3098398824690816,0.265498839218206,-0.04551754921462907,0.15731745106204126,0.2980703462975529,0.47379225843991196,0.5011632727923043,-0.10375034218450589,0.0634507814398134,0.027097304208868446,-0.007529089735159221,0.1160495697591318,-0.07196718257018352,0.15479457283360445,0.1402989033642712,-0.04453888545991222
Challenge started,-0.1690308509457033,0.1690308509457033,0.2519763153394848,0.7821565407772304,0.6579091406677614,0.5767862247322544,0.8007662835249042,0.6962233169129721,-0.1330049261083744,0.2320744389709907,0.5657588666639504,-0.14887794198139026,0.11086778406101709,0.7936507936507936,0.7969348659003831,0.8084291187739464,0.7225947789031586,0.1355658233060682,0.07718626047374649,1.0,0.1405213576457894,0.511007361879602,0.7837985769020251,0.7816091954022989,0.7876299945265463,-0.26591810732578935,-0.1325465643547368,-0.2194854953475643,-0.14066776135741654,-0.13464696223316913,0.5810866347012901,0.4738288909693453,-0.1330049261083744,0.8067342213032528,0.3361661729083728,0.7513716303257442,0.11505278538327095,0.20497340287594054,0.15675542257632474
