,Impressions,Spend,Unique redirects,Unique interactions,Total interactions,Unique redirects rate,Unique interactions rate,CTA clicked,CTA click rate,Average duration,HTML loading,HTML loaded,HTML displayed,HTML completed,HTML completion rate,Challenge started,Challenge failed,Challenge solved,Challenge pass 25,Challenge pass 50,Challenge pass 75,Challenge failed rate,Challenge solved rate,Challenge pass 25 rate,Challenge pass 50 rate,Challenge pass 75 rate,Redirect count,Endcard shown,Redirect rate,Black view error,Rendering error,Runtime error,Black view error rate,Rendering error rate,Runtime error rate
HTML loading,0.5533724351279418,0.49212423601883826,0.538199688685193,0.5583042091186738,0.5589604781859155,0.20347754875768054,0.20869396556126926,0.9405907625848509,0.5570362935863116,0.29176736224233935,1.0,0.9999015097263602,0.9996529406247069,0.8267570935586194,0.47734243454747294,0.903501223085967,0.6577890140411115,0.5596035335497324,0.8872384258646013,0.8695125981591836,0.8553474900406763,0.427575885133628,0.4117379128732258,0.6034299409627393,0.5811899555838036,0.582133458600382,0.5270332436721831,0.6500874041055092,0.1666778826690891,0.5069357100232654,-0.20300294657556314,0.4379086924454257,-0.16237430240779294,-0.3442141653771662,0.23499595918826563
HTML loaded,0.5532724733161253,0.491911924870536,0.5398874600199035,0.5584513422594072,0.5593034021802047,0.2075201961733389,0.20898863138302984,0.9416668621807768,0.5594308186218737,0.29296687335500593,0.9999015097263602,1.0,0.9997842593875054,0.8284486827846324,0.47989630598397454,0.904210083739481,0.658009649809224,0.5583457065511855,0.8864856265446115,0.8685817577216064,0.8542901248485416,0.4278743281590798,0.4102317741109106,0.6025885716875041,0.5800500141092577,0.5808620730036566,0.5290146342381621,0.6496152015173964,0.17060147507868376,0.5056008833429002,-0.2030038986643668,0.4373731851047834,-0.16393255142201119,-0.3442157797500531,0.2343704024948837
HTML displayed,0.5530414568124753,0.4931693334208635,0.5388616637199988,0.5580897689859161,0.5592028842779014,0.20533755796646685,0.20836298647900403,0.9409565887893276,0.5581478241920987,0.2943314688707633,0.9996529406247069,0.9997842593875054,1.0,0.8285702507963094,0.4811201587326988,0.9046755895958168,0.659610693956428,0.5578281198448131,0.8870356274321196,0.8690545846917119,0.8548463523462869,0.4296126893455854,0.40944271493117745,0.6032318615911113,0.5801747807458785,0.5814763110384331,0.527872357235148,0.65350432460636,0.16851924090302253,0.5051014384900314,-0.20300294657556314,0.4374383286511771,-0.16455663989169192,-0.34403771567115754,0.2353882170743407
HTML completed,0.4033437405956558,0.38179791799137436,0.3665498589206568,0.4191139642779221,0.43905041409996254,0.08167356169753189,0.16330477379229383,0.7302947330337364,0.3925755000548883,0.25965700549253584,0.8267570935586194,0.8284486827846324,0.8285702507963094,1.0,0.7932890686378691,0.8719585520116339,0.6082646189549211,0.5987175707227422,0.8984637521921703,0.8948612841150934,0.8744785408725604,0.3910516096171915,0.4966497927261085,0.7096010546439084,0.7090947575463697,0.6854360864355556,0.36351757403519996,0.6651303760860616,0.07621499187946261,0.4220569019525436,-0.14197712665674544,0.3270359656465252,-0.023038225502113648,-0.27827533472106725,0.18158967619454527
HTML completion rate,-0.04448484531108378,0.005041394876063343,-0.024002909322688153,-0.01253538711957134,0.028011177344998934,0.07871680783952652,0.16188022835215676,0.41398810909700934,0.36190019801378337,0.10866984350588717,0.47734243454747294,0.47989630598397454,0.4811201587326988,0.7932890686378691,1.0,0.5602882022962447,0.42985225864296084,0.41614132323278263,0.5965128907423021,0.6063794969114105,0.5864201807519973,0.3781913360856186,0.44841350518825,0.7054489912537388,0.7116031280122694,0.6621147406312345,-0.004597249705638588,0.53719153775292,0.10940759263281832,0.07026906686796025,-0.2857753150459371,-0.04452482722582535,0.21963153793137674,-0.3508801411903081,-0.0065933302559393605
Challenge started,0.44670172901230903,0.41677989703011975,0.4865076232014208,0.45738269947629073,0.4583734064600521,0.29636687052360033,0.18066174057361548,0.9012069765656179,0.6324824031131338,0.2280485402782696,0.903501223085967,0.904210083739481,0.9046755895958168,0.8719585520116339,0.5602882022962447,1.0,0.7640789108256403,0.5888195507297799,0.9302781893831726,0.9065573717874416,0.8863864685571309,0.5598070380654837,0.43509776051790344,0.6561774650341822,0.6199598098723827,0.6164634154246202,0.47681112198921305,0.7533843384517847,0.2549139518057114,0.39693225359413803,-0.17321387462215887,0.37089845954846107,-0.14822911613803105,-0.311884246694565,0.24683115983345813
Challenge failed,0.23513624833364566,0.2303505665439719,0.277324199111471,0.23295390594303386,0.2574578411355026,0.18005831493735341,0.036612847463605956,0.6874077945170664,0.5509757934586678,0.11351320761397608,0.6577890140411115,0.658009649809224,0.659610693956428,0.6082646189549211,0.42985225864296084,0.7640789108256403,1.0,0.6203568242262903,0.6797511225108297,0.6634376213387236,0.630442675736092,0.8829503331669273,0.4790796889540791,0.4242344013024194,0.43227829254709754,0.40921957545912513,0.25021503139716406,0.8311388751370655,0.11210519962694519,0.2147321179626513,-0.1411023932367053,0.24912902361145697,-0.05061251878637657,-0.22564294507837784,0.27240942766712756
Challenge solved,0.18638940568097334,0.18353689845685064,0.0935531668809546,0.18277767797686237,0.19269212394097235,-0.18671645235972323,-0.006873536573213141,0.4546125262099616,0.21783690617998136,0.08746350374369485,0.5596035335497324,0.5583457065511855,0.5578281198448131,0.5987175707227422,0.41614132323278263,0.5888195507297799,0.6203568242262903,1.0,0.5650093848905678,0.5787759745105248,0.5982372587514396,0.5172514430173405,0.94305532475685,0.37784298574398434,0.4834192889002186,0.5269720409002444,0.05758007503763878,0.6081679910369808,-0.2226167593704765,0.18047448574574385,-0.13940363964289473,0.12423552940061801,-0.02097562561248334,-0.16784347940323074,0.1264701968766891
Challenge pass 25,0.4566720994365279,0.421643250312708,0.43169600223986093,0.47613167674591195,0.4773862001617723,0.1358046908269726,0.2292881959864993,0.8193516939571609,0.481303120088069,0.3188240588277757,0.8872384258646013,0.8864856265446115,0.8870356274321196,0.8984637521921703,0.5965128907423021,0.9302781893831726,0.6797511225108297,0.5650093848905678,1.0,0.9904259102283405,0.9741449860624026,0.47345021276558347,0.44436025894345127,0.8084285010493092,0.7833178404490639,0.7663962657045813,0.4182814494893296,0.7032914353546774,0.1194300342579854,0.4746682578803944,-0.17605609802245795,0.34985092422169006,-0.012194303349591925,-0.31577931803728554,0.18402937166660036
Challenge pass 50,0.4430307163028099,0.41297002775627195,0.39629440662335264,0.4542127610610163,0.46130055215179694,0.0913124949519727,0.20580980307534472,0.7866481662257336,0.44614393783088124,0.3225103041453162,0.8695125981591836,0.8685817577216064,0.8690545846917119,0.8948612841150934,0.6063794969114105,0.9065573717874416,0.6634376213387236,0.5787759745105248,0.9904259102283405,1.0,0.9891342393309821,0.46647357490525804,0.4701011470747624,0.8211260339740181,0.8190150219042918,0.806946023843906,0.37860997673450225,0.7034019375417727,0.0766716240651806,0.4671770195457954,-0.17686012999682799,0.34305270634553364,0.007060872157651036,-0.31680200343461973,0.17495317085203946
