,点消,拖消,目标物品,Impressions,Spend,Unique redirects,Unique interactions,Total interactions,Unique redirects rate,Unique interactions rate,CTA clicked,CTA click rate,Average duration,HTML loading,HTML loaded,HTML displayed,HTML completed,HTML loading rate,HTML completion rate,Challenge started,Challenge failed,Challenge solved,Challenge pass 25,Challenge pass 50,Challenge pass 75,Challenge failed rate,Challenge solved rate,Challenge pass 25 rate,Challenge pass 50 rate,Challenge pass 75 rate,Redirect count,Endcard shown,Redirect rate,Black view error,Rendering error,Runtime error,Black view error rate,Rendering error rate,Runtime error rate
Challenge failed rate,-0.36454901039581467,0.3645490103958147,-0.4599221361964011,-0.1346799483511805,-0.14337248247497733,-0.12389539082686896,-0.12818000120689532,-0.14433847614831186,0.41791816764704504,0.0011448190998214443,-0.12321479714519794,0.44690370324960593,-0.20850715772748227,-0.13136725108731892,-0.1314679931707293,-0.1303445542469833,-0.12904534362442516,-0.15753771735967315,0.22988397809400443,-0.1287275072091735,-0.08536162537316305,-0.11379900425134362,-0.1231108587555482,-0.12295263333462032,-0.12276495742044224,1.0,-0.02474149888823999,0.7420866036098842,0.6444901806207136,0.4420401936482754,-0.12387651096204003,-0.12470056426466625,0.4168556005646383,-0.15628715386984,-0.18363549986128647,-0.16787904926529687,-0.3562967926834813,-0.16947672126930874,-0.2635057259262292
Challenge solved rate,0.06709649511851365,-0.06709649511851365,0.3523489867295012,0.43606316683601004,0.4278912362211695,0.44209697857778435,0.45028214669853545,0.4285648339382174,-0.1737431264430553,0.1781621392420852,0.44154881648574634,-0.15785829537795773,-0.03260570708701097,0.44956760328097367,0.44924838431583974,0.4499787014672566,0.4493057686466981,0.03414550777043472,0.09049688999298129,0.4606362700893716,0.45829849267039713,0.47766982571793193,0.4619308268426922,0.46229653110392366,0.46261740176119853,-0.02474149888823999,1.0,0.2618720533851134,0.2401304892467429,0.23735951617862702,0.4421972539259475,0.44979299019645463,-0.1738124444188852,0.391039385699915,0.3689936132341741,0.36152745015162535,0.17098073636532568,-0.034432710616817366,0.11658370497307166
Challenge pass 25 rate,0.3183730992559316,-0.3183730992559316,0.6231983443312689,0.05152946651578207,0.05057826839540786,0.05718973661079184,0.052173858982132455,0.05173711468477267,0.2803145125052169,0.3055600061798513,0.056928293743348624,0.2729092054435729,0.08734930166281883,0.051623680988550996,0.051733593538804946,0.051279508616918344,0.059448893779813015,-0.28658050377199534,0.6430391851202636,0.043201149616159375,0.042024793770352446,0.045700606403249876,0.05312451857091788,0.053030042173485475,0.052907889087098404,0.7420866036098842,0.2618720533851134,1.0,0.9278737548691595,0.7652044476938104,0.057164380281446506,0.05931607726937972,0.27945637043129407,0.061746352097372496,0.036695834108593485,0.05881844667576482,-0.1888030457720215,-0.08731351675158372,-0.16503034126863292
Challenge pass 50 rate,0.2834017399557478,-0.2834017399557478,0.6429932661619508,0.1253892835529274,0.12576802912125457,0.13061253534029435,0.12346801136913091,0.12614190930142388,0.29596118705781677,0.3688356908921909,0.13039702966659944,0.28598032379582866,0.12684705229359414,0.1237166239241263,0.12390591927601304,0.12315585577037277,0.1324214354025926,-0.4013590109213731,0.6510670182580123,0.11070489993109765,0.10402150629442199,0.1090643428170602,0.12205200827354858,0.12211792808929191,0.12197413526872483,0.6444901806207136,0.2401304892467429,0.9278737548691595,1.0,0.9432632692900539,0.13056277985018228,0.1321191196780263,0.2951884264212031,0.14587616505961964,0.114519403460406,0.14603213804664256,-0.14053575050848507,-0.08277342396510094,-0.14268294713775073
Challenge pass 75 rate,0.24873456505413674,-0.24873456505413663,0.6323842086915189,0.20640170587092702,0.2083932084983055,0.20993082385330214,0.20144890780080685,0.2083365410867685,0.2563677766384075,0.40357831347936657,0.2098017629692094,0.2442534738684899,0.16877326594652828,0.20256822447330944,0.2028233652391223,0.20179358676862658,0.21123801228855524,-0.4257456850238191,0.6003028182946024,0.1858617262492235,0.17171856045293063,0.17905339820778457,0.1973978563018194,0.19755754427106964,0.1974834350245054,0.4420401936482754,0.23735951617862702,0.7652044476938104,0.9432632692900539,1.0,0.20985850041727416,0.2106491037574103,0.2557726326592648,0.23666788983700973,0.2026492409572471,0.24034722940420597,-0.046205151718316934,-0.05921439433572514,-0.07392810849273838
Redirect count,0.3526165620039319,-0.3526165620039319,0.4847122105270611,0.9986582107149683,0.9954387024052661,0.9999999371978795,0.9992182931005955,0.9961261657705646,0.08887582673406703,0.12895643610650218,0.9999947958520231,0.076791529176126,-0.13956218401894502,0.9993480265377812,0.9993652104282204,0.9993234335002186,0.9996985785310588,-0.003953823899711175,0.06641033278047424,0.9956709085645826,0.9899715030987227,0.9907432870301989,0.9976665646501212,0.9976199928946314,0.9975391243488795,-0.12387651096204003,0.4421972539259475,0.057164380281446506,0.13056277985018228,0.20985850041727416,1.0,0.9998183155225258,0.08995053959108716,0.9825203558983331,0.9598345705812743,0.9643945351344577,-0.04398902571942954,-0.06401513831382556,-0.06796812536590534
Endcard shown,0.3524096090841289,-0.3524096090841289,0.4861496522914468,0.998234411056189,0.9946897288653168,0.9998142460918688,0.9993526688533031,0.9955894180915208,0.07912441355788821,0.13081633963331743,0.9997718143399191,0.06698094895281229,-0.1383062868747783,0.9994835660790238,0.9994888182792565,0.9994584757068892,0.9999004709420751,-0.000934220774404753,0.06700765950405024,0.9962065006612063,0.9900317056419706,0.9919898705886092,0.9983038691914069,0.9982761125422284,0.9982112250493691,-0.12470056426466625,0.44979299019645463,0.05931607726937972,0.1321191196780263,0.2106491037574103,0.9998183155225258,1.0,0.08019403594254194,0.9807921661487379,0.9577523173784311,0.9618346875930818,-0.04267579868471668,-0.061922753816798536,-0.06686417530982086
Redirect rate,0.266768474454742,-0.266768474454742,-0.2126824194812165,0.0725219569986766,0.06378971718115004,0.08999786842849802,0.07552371068619369,0.06874621034972198,0.9999967474777436,0.37793694226701824,0.09055613655298915,0.9958381782980453,0.025459776777983147,0.07290564918763119,0.07297641281536466,0.0736287754761048,0.07963119922872106,-0.15571292013274513,0.2646461675396009,0.06816568741671523,0.09054718660800352,0.07092186318605759,0.07618685140685919,0.07661120720538109,0.07676193694165401,0.4168556005646383,-0.1738124444188852,0.27945637043129407,0.2951884264212031,0.2557726326592648,0.08995053959108716,0.08019403594254194,1.0,0.07043433037019026,0.018031702222317467,0.06403999943828129,-0.32344525320100903,-0.23566150398475677,-0.24968200526696502
Black view error,0.38588189912326454,-0.38588189912326454,0.5423640064798435,0.9875108113836966,0.9913719504293578,0.9825799637009867,0.979023365369174,0.9890883181078162,0.06935530716289981,0.09406536847339522,0.9827142195156574,0.0559555676550467,-0.13042958465194204,0.9808164706683933,0.981033694924934,0.9801812305142122,0.9813286220311285,-0.017129766991962937,0.06893212842231788,0.9678505810351823,0.952160363343341,0.9509503964681709,0.9700107751329484,0.9696672151804225,0.969322132308747,-0.15628715386984,0.391039385699915,0.061746352097372496,0.14587616505961964,0.23666788983700973,0.9825203558983331,0.9807921661487379,0.07043433037019026,1.0,0.9848123632919763,0.9966190692072707,-0.024457804347714107,-0.06748053504172548,-0.061026249437134555
Rendering error,0.31938233903088825,-0.3193823390308882,0.4952907846131448,0.9722295372729679,0.9812335773419064,0.959887280625271,0.9612572840198457,0.9795912667128548,0.01696549814335926,0.07292994454987115,0.9599218219176463,0.0031418708419275222,-0.09595661654424634,0.9626214263061212,0.9628444919592648,0.962011887019575,0.9598726124349705,-0.022654329173718134,0.05087784424424498,0.9544318825608812,0.9335540048984726,0.9325324683335925,0.9504678169365449,0.9497845990960299,0.9493011979152499,-0.18363549986128647,0.3689936132341741,0.036695834108593485,0.114519403460406,0.2026492409572471,0.9598345705812743,0.9577523173784311,0.018031702222317467,0.9848123632919763,1.0,0.9873424706797359,-0.026131729189919174,-0.042585039632676173,-0.061135971648527
